060	RR CHOMAGE CSG-CRDS TAUX PLEIN	RR CHOM.TX PN	E		6.70		01/01/2024
070	RR CHOMAGE CSG-CRDS TAUX REDUIT	RR CHOM.TX RT	E		4.30		01/01/2024
071	AIDE EXCEPTIONNELLE CHLORDECONE	AIDE CHLORDECONE	F	100.00			01/01/2024
073	RACHAT RTT PP REG SPEC VIEILLESSE RG	RACH.RTT PP RSG	F	100.00			01/09/2023
076	RACHAT RTT REDUC.SALARIALE REG SPEC.	RACH.RTT RED PO RSP	F	100.00			01/08/2022
077	RACHAT RTT REDUC.PATRONALE REG SPEC	RACH.RTT RED PP RSP	F	100.00			01/08/2022
078	REDUC.SALARIALE HS REGIMES SPECIAUX	H SUP PO REG SPEC	F	100.00			01/01/2022
079	RR CHOMAGE ALSACE MOSELLE AL AL	RR CHOM.AL MOS	E		1.30		01/04/2022
080	RR IJSS DE BASE TAUX PLEIN	RR IJSS B TX PN	E		6.70		01/01/2024
081	RR IJSS COMPLEMENTAIRE TX PLEIN	RR IJSS C TX PN	E		8.80		01/01/2024
084	RED. GENERALE NOTARIAT VIEILLESSE RG U2	RED.GEN.NOTAR RG	F	100.00			01/01/2026
084	RED. GENERALE NOTARIAT VIEILLESSE RG U2	RED.GEN.NOTAR RG	F	100.00			01/09/2023
085	REDUCTION GENERALE NOTARIAT	RED GAL NOTARIAT	F	100.00			01/01/2026
085	REDUCTION GENERALE NOTARIAT	RED GAL NOTARIAT	F	100.00			01/01/2023
086	DEDUCTION PP HEURES SUP NOTARIAT	DED PP H SUP NOTAIR	F	100.00			01/01/2023
087	DED PP HS NOTARIAT VIEILLESSE RG	DED PP HS NOTAR RG	F	100.00			01/09/2023
091	EXONERATION AF ARMEMENT MARITIME	EXO AF MARINS	F	100.00			01/10/2011
096	RACHAT DE RTT REDUCTION SALARIALE	RACHAT RTT REDUC PO	F	100.00			01/08/2022
097	RACHAT DE RTT REDUCTION PATRONALE	RACHAT RTT REDUC PP	F	100.00			01/08/2022
098	REDUC SAPEURS POMPIERS VOLONTAIRES	RED SAPEUR POMPIER	F	100.00			01/01/2026
099	EMBAUCHE 1ER AU 50EME SALARIE ZFRR	EXONERATION ZFRR	F	100.00			01/07/2024
100	RG CAS GENERAL	CAS GENER	A	15.45	13.26	0.00	01/01/2026
100	RG CAS GENERAL	CAS GENER	A	15.45	13.17	0.00	01/01/2024
101	RG CAS GENERAL MAYOTTE	CAS GENER MAY	A	20.84	11.02	0.00	01/01/2026
101	RG CAS GENERAL MAYOTTE	CAS GENER MAY	A	20.73	9.97	0.00	01/01/2025
102	REGIME GENERAL SANS AT	RG SANS AT	E	15.45	13.26		01/01/2026
102	REGIME GENERAL SANS AT	RG SANS AT	E	15.45	13.17		01/01/2024
104	RG AVEC DISPENSE PO(AU PAIR)	DISP PO PAIR	A	8.55	12.86	0.00	01/01/2026
104	RG AVEC DISPENSE PO(AU PAIR)	DISP PO PAIR	A	8.55	12.77	0.00	01/01/2024
106	RG AVEC DISPENSE PO SANS AT	DISP PO	E	8.55	12.86		01/01/2026
106	RG AVEC DISPENSE PO SANS AT	DISP PO	E	8.55	12.77		01/01/2024
109	C.C.I.DE PARIS	C.C.I. DE PARIS	A	15.45	15.96	0.00	01/01/2026
109	C.C.I.DE PARIS	C.C.I. DE PARIS	A	15.45	15.87	0.00	01/01/2024
110	PLAN EMPLOI JEUNES	EMP JEUNES	A	15.45	13.26	0.00	01/01/2026
110	PLAN EMPLOI JEUNES	EMP JEUNES	A	15.45	13.17	0.00	01/01/2024
112	RG AVEC DISPENSE PO VIEILLESSE	RG DISPENSE PO VIEIL	A	8.55	12.86	0.00	01/01/2026
